title,company,location,description,category
Software Engineer,Saab UK,"Fareham, Hampshire","Introduction Saab UK is part of Scandinavia's largest defence company, bringing together the best of Swedish and British innovation. Saab offers world-leading solutions and services in defence, aviation, space, and civil security to keep people and society safe. Our UK presence has been growing at pace, meaning we can offer a wide range of opportunities for personal fulfilment and career growth. We currently employ over 600 people across eight sites in the UK, and our specialisations include so…",IT Jobs
Software Engineer,EMBL-EBI,"Hinxton, Saffron Walden","The European Bioinformatics Institute (EMBL-EBI) is seeking a talented and motivated Software Engineer to join our SearchBot project. This new initiative will pilot natural language query (NLQ) capabilities across EBI Search, which indexes more than 6.6 billion records from EMBL-EBIs world-leading life science resources. The project will also explore frameworks for integrating specialised search services, such as sequence and chemical searches, with modern AI agents using emerging standards lik…",Scientific & QA Jobs
PLC Software Engineer,Samuel Frank,"Over Hulton, Bolton","PLC Software Engineer Rockwell PLCs FactoryTalk / Studio 5000 £50-62k  Hybrid Working Samuel Frank is recruiting for a PLC Software Engineer with Rockwell PLC experience to join a well-established, growing engineering business. The role is predominantly office-based with very limited site work and would suit a PLC Software Engineer who enjoys structured, collaborative development rather than constant travel. Key aspects of the PLC Software Engineer role include PLC Software Engineer will focus …",Engineering Jobs
Senior Software Engineer,Bright Purple Resourcing,"Edinburgh, Scotland",Senior Software Engineer Edinburgh An innovative and well-established med tech company are seeking a Senior Software Engineer to join its R&D team basedin central Edinburgh. This is a unique opportunity to play a key role in the development of next-generation patient monitoring and connectivity solutions that make a real difference in clinical environments. What is in it for you: Competitive salary Hybrid working - 2 days a week into the office 25 days annual leave - which increase in years of …,IT Jobs
Senior Software Engineer,Redline Group Ltd,"Ottershaw, Chertsey","Are you an experienced Software Engineer ready to take the lead on cutting-edge defence technology? Join a specialist engineering company based in Chertsey, delivering bespoke software and integrated systems for mission-critical military applications. My client designs, develops, and integrates advanced solutions that operate in some of the most demanding environments. This is an opportunity to work at the forefront of innovation, contributing to projects that truly matter. As a Senior Software…",IT Jobs
Principal Software Engineer,Redline Group Ltd,"Old Snydale, Pontefract","We are hiring a Principal Software Engineer (Embedded Systems) based in Normanton, West Yorkshire to lead the design and development of cutting-edge embedded software for next-generation products. This is a senior-level opportunity for an experienced Normanton based Principal Software Engineer with deep expertise in C programming, RTOS (Real-Time Operating Systems), and wireless communication protocols. Reporting to the Group Technical Engineering Director, you will play a key role in shaping s…",IT Jobs
Principal Software Engineer,Sirius Digital,"Port Solent, Portsmouth","Principal Software Engineer Salary: Negotiable plus benefits, pension (7% contribution), 25 days holiday & life insurance We are looking for principal software engineers with diverse experience. We are a small but rapidly growing consultancy, owned highly experienced and recognised practitioners in UK defence consultancy. We are looking for candidates with a mix of technical expertise and interpersonal skills, able to work independently and in small teams. The Role: As a Principal Software Engi…",IT Jobs
Senior Software Engineer,Fuel Recruitment,"Farnborough, Hampshire","Senior Software Engineer - Hybrid - Up to £90,000 Overview Fuel Recruitment is working with a well-established technology organisation seeking a Senior Software Engineer to join their expanding team. This role offers the chance to work across modern cloud platforms, Front End frameworks, and Back End languages while contributing to high-quality software solutions. You'll be joining an experienced engineering team delivering scalable, secure, and innovative applications. This is an excellent opp…",IT Jobs
Lead Software Engineer,Platform Recruitment Limited,"Oxford, Oxfordshire","Job Title: Lead Software Engineer Location: Oxfordshire: Hybrid Salary: up to £65,000 This is a rare opportunity for a senior software engineer to join a truly ground-breaking, high-precision manufacturing company. Youll be working at the intersection of software and hardware, helping to build cutting-edge technologies that are supplied worldwide. If you enjoy working on advanced industrial machines and being surrounded by some of the best engineers in the UK, this role could be a perfect fit. …",IT Jobs
Principal Software Engineer,Bright Purple Resourcing,"Edinburgh, Scotland",Principal Software Engineer Edinburgh An innovative and well-established med tech company are seeking a proven technical leader to join its R&D team basedin central Edinburgh as a Principal Software Engineer. This is a unique opportunity to play a key role in the development of next-generation patient monitoring and connectivity solutions that make a real difference in clinical environments. What is in it for you: Competitive salary Flexible working 25 days annual leave - which increase in year…,IT Jobs
Senior Software Engineer,Sirius Digital,"Port Solent, Portsmouth","Senior Software Engineer Salary: Negotiable plus benefits, pension (7% contribution), 25 days holiday & life insurance We are looking for senior software engineers with a range of levels of experience including designing and delivering software applications. We are a small but rapidly growing consultancy, owned by four highly experienced and recognised practitioners in UK defence consultancy. We are looking for candidates with a mix of technical expertise and interpersonal skills, able to work …",IT Jobs
Software Engineer C++,Sirius Digital,"Port Solent, Portsmouth","Software Engineer Salary: Competitive, negotiable based on experience, plus benefits including a 7% pension contribution, 25 days holiday, and life insurance Location: Portsmouth, hybrid working Sirius Digital is a trusted provider of expertise in Software Engineering, Data Science, and AI, supporting clients in the defence, nuclear, space, and energy sectors. We specialise in software modelling and simulation, robotics and autonomous systems, as well as data science and engineering, delivering…",IT Jobs
Lead Software Engineer,Saab UK,"Fareham, Hampshire","Introduction Saab UK is part of Scandinavia's largest defence company, bringing together the best of Swedish and British innovation. Saab offers world-leading solutions and services in defence, aviation, space, and civil security to keep people and society safe. Our UK presence has been growing at pace, meaning we can offer a wide range of opportunities for personal fulfilment and career growth. We currently employ over 600 people across eight sites in the UK, and our specialisations include so…",IT Jobs
Lead Software Engineer,Optum,"Carmunnock, Glasgow","Job Description Optum is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by diversity and inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve a…",IT Jobs
Electronic Software Engineer,KO2 Embedded Recruitment Solutions Ltd,"Spital Tongues, Newcastle Upon Tyne","Electronics / Embedded Design Engineer Newcastle £40,000 - £45,000 doe KO2's client is expanding and is now looking to recruit an Electronics / Embedded Design Engineer to help establish a new R&D and design function within the business. This is a unique opportunity to join at an early stage of a new consultancy-focused team, where you will play a key role in shaping the direction of electronics design and development activities. The role will involve a combination of hardware and software deve…",Engineering Jobs
Software Engineer,Randstad Technologies,"Manchester, Greater Manchester","Job Title: Software Engineer Manchester, UK Hybrid (once/week) 6month contract with Potential Extension Day rate - 56GBP/Hour Inside IR35 Software Engineer We are looking for a mid-level Software Engineer who builds with a ""Full-Ownership"" mindset. In this role, you aren't just writing code; you're managing the entire lifecycle of global-scale services. What You'll Do Build & Refactor: Write reusable code using standard design patterns. We value test automation as much as production code. Own t…",IT Jobs
Software Engineer,VRS Recruitment,"Manchester, Greater Manchester","Our client, a leading OEM of specialist scientific instruments, is looking for a friendly and adaptable Software Engineer to join a team tasked with designing the next generation of scientific analysis and instrument control software. Programming mainly in C#, you will be designing and building desktop applications against existing technology platforms and designing and implementing extensions to underlying frameworks for scientific instrument control, data acquisition and data processing. The …",IT Jobs
Software Engineer,Richmond Square Consulting Limited,"Cheltenham, Gloucestershire","Software Engineer / Polyglot Engineer Cheltenham / Hybrid My client is looking for a strong Software Engineer / Polyglot Engineer / Application Developer / Software Developer to join a growing UK technology business delivering secure software, mobile, and cloud-based solutions into the national defence sector. This is an opportunity to work across live programmes, next-generation product development, and cutting-edge proof-of-concept work in an environment that values strong engineering fundame…",IT Jobs
Software Engineer,Forward Role,"Cheltenham, Gloucestershire","Due to sustained demand from our National Security and Government clients, we are actively seeking multiple cleared Software Engineers for high-profile programmes (please note you must be willing to go to a high level of security clearance due to the nature of the work). Software Engineering - eDV cleared Package - £50,000- £80,000 Benefits - Clearance Bonus plus excellent benefits and relocation assistance Location - Manchester, Cheltenham or London. Join a trusted leader in National Security …",IT Jobs
Software Engineer,Frontier Resourcing Ltd,"South East London, London","Software Engineer – DV Cleared Locations: Manchester, Gloucester or London We're supporting a leading defence organisation delivering advanced technology solutions into the UK's defence and national security sector. Due to continued growth, they are looking for Software Engineers at multiple levels to join their high-performing engineering teams. This is an opportunity to work on mission critical systems that make a real world impact, within a highly secure environment. The Role As a Full Stack…",IT Jobs
Software Engineer,Orion Electrotech Sales,"Normanton, West Yorkshire","Software Engineer Burbage area We are working with an innovative engineering organisation developing advanced Aerospace technologies. They are now looking to hire an experienced Software Engineer to support the design and delivery of mission-critical software and firmware solutions. This role sits within a multidisciplinary engineering team and covers the full software lifecycle from design and development through testing, integration and deployment. Youll also contribute to system-level integr…",IT Jobs
Software Engineer,Fruition Group,"South East London, London","Software Engineer - Platform / Core Infrastructure London 4 days a week on site Up to £110k We're partnering with a rapidly scaling fintech that has transformed its market in just a few years. Their payments platform processes billions in transactions annually , supporting a growing customer base across multiple countries. As they continue to scale, they're investing heavily in the internal platform and infrastructure that powers their engineering teams. The Role This is an opportunity to join …",IT Jobs
Software Engineer,Blue Arrow - Swansea,"Dafen, Llanelli","Blue Arrow is urgently recruiting for a Software Engineer to join our clients growing Automotive Manufacturing team based in the Llanelli area. Contract : Permanent Salary : Up to £40,000p.a Hours of work : 37 hours per week: Mon-Thurs 8:30-17:00 & Fridays 9:00-15:00 Travel expected: Cannock in West Midlands and Germany (infrequently) Job Summary: Our client is seeking an experienced automotive Software Engineers to join their existing team. The post involves designing and developing software i…",IT Jobs
Software Engineer,OAL Group,"Orton Southgate, Peterborough","Software Engineer Location : Peterborough, PE2 6YN Salary : Up to £50k per annum (Subject to Experience) Contract: Full-Time, Permanent The software you build this month might prevent a product recall. Next month it might run a robotic cell. OAL's software engineers work across compliance, vision, robotics and traceability systems for UK food manufacturers. One project might be a label verification system for a major retailer. The next might be software for a robotic palletising cell, a vision …",IT Jobs
Software Engineer,Your Prime Recruitment Ltd,"Manchester, Greater Manchester","Founding Engineer Manchester (Hybrid) AI Product / Mobile / SaaS The Opportunity Were working with an early-stage, mission-led software business looking to hire a Founding Engineer to play a key role in the next evolution of their product. The business already has a live platform and strong market relevance the next phase is about rebuilding and improving the product for the AI era , with a particular focus on user experience, intelligent workflows, and mobile-first product thinking . This is a…",IT Jobs
Software Engineering Manager - Services,Capital One,"London, UK","White Collar Factory (95009), United Kingdom, London, London Software Engineering Manager - Services About this role Capital One is looking for a Software Engineering Manager to join us in our London office. You will have previous experience of leading a Software Engineering team and be passionate about people and technical leadership. What you’ll do Be a differential people leader. Literally. We expect you to coach and nurture your engineers and make a material positive difference to their car…",Engineering Jobs
Software Engineer,Optamor,"Gloucester, Gloucestershire","Software Engineer Gloucester, Gloucestershire £43000 - £98000 p/a with BUPA, bonus and full benefits 4 Day Work Week options Lockheed Martin Rotary and Mission Systems (RMS) provides systems engineering, software development, training solutions and complex program management for global security, civil and commercial markets. We have exciting opportunities at varying seniority levels, arising at our site in Gloucester for Software Engineers, primarily a variety of Defence, Cyber and Intelligence…",IT Jobs
Director of Software Engineering,Capital One UK,"London, UK","White Collar Factory (95009), United Kingdom, London, London Director of Software Engineering About this role We are looking for a Director of Software Engineering to lead a team of 100 engineers. We’re looking for someone who is results-oriented, able to partner with business leaders and go toe-to-toe with the best engineers on technical rigour. You’ll be responsible for all the technologists within a series of our ‘outcome teams’: established to drive forward business outcomes. You’ll be an e…",Engineering Jobs
Staff Software Engineer - Back End,Capital One,"London, UK","White Collar Factory (95009), United Kingdom, London, London Staff Software Engineer - Back End About this role Do you love shaping the technical landscape and driving innovation across the organisation? Are you passionate about solving complex business problems and supporting multiple teams toward a shared technical vision? At Capital One, you'll be part of a community of technical leaders who drive engineering excellence, foster innovation, and deliver impactful solutions that meet real custo…",IT Jobs
Embedded Ada Software Engineer,Certain Advantage,"Filton, Bristol","World Class Defence Organisation based in Bristol is currently looking to recruit 2x Embedded ADA Software Engineer subcontractors on an initial 12 month contract. The role will likely be required to be onsite, but it can be worked on a 4-day week basis. Essential - ADA, Background in safety critical software. Desirable - Linux, Doors, Dimensions, UML, Mascot etc. Contract Duration: 12 Months initially and then ongoing. Hourly Rate: £68.00ph (Umbrella). Overtime rate: Hours worked over 37 hours…",IT Jobs
Head of Software Engineering - Peterborough,Circle Group,"Peterborough, Eastern England","Head of Software Engineering - Peterborough Head of Software Engineering with and excellent background in engineering (ideally .NET), DevOps, (including DevSecOps ideally) and cloud is required by a leading company in Peterborough. It is technical leadership role focused on Software Engineering, DevOps and end-to-end technology estate. With a team of 10, you will be turning architectural concepts into implementation reality, so very much a delivery role, being part of the senior leadership team…",IT Jobs
Principal Software Engineer - Verification,IO Associates,"Bristol, South West England","Shape how safety-critical software is verified at the highest level. We're partnering with a growing, highly respected engineering SME specialising in safety-critical embedded systems . They are looking for a Principal Software Engineer to play a key role in developing and assuring high-integrity embedded software, including a safety-certified real-time operating system. This is a hands-on software engineering role within the verification team, combining technical leadership with deep involveme…",IT Jobs
Firmware/Software Engineer,Unipart,"Stockport, Greater Manchester","Salary: Circa £40,000 Hours: 37.5 Contract: Full time Location: Stockport At Park Signalling we utilise our specialist engineering skills and knowledge to deliver products and services including consultancy and projects. We deliver design and development, application engineering, prototype manufacture, repair and consultancy at any stage in the life-cycle of a system or product. We design, manufacture and supply a range of products for the needs of the world-wide railway signalling, telecommuni…",Engineering Jobs
Software Engineer - SC,CBSbutler Holdings Limited,"Romsey, Hampshire","Software Engineer Hybrid - 2 days per week onsite in either Romsey / Gloucester / Woking Up to £60,000 per annum  benefits SC clearance We are looking for a talented Software Engineer to join a cutting-edge team developing software for RF communication and sensor-based products. You'll play a key role in the design, implementation, and testing of product software, working closely within an agile team alongside the Product Owner and System Design Authority. This is a flexible role where you can …",IT Jobs
Principal Software Engineer,Platform Recruitment Limited,"Bristol, South West England","Principal Embedded Software Engineer Bristol (Hybrid) Salary: Up to £80,000 Im currently recruiting on behalf of a highly innovative technology business working at the forefront of embedded safety-critical systems . This is an excellent opportunity for an experienced Senior Principal Embedded Software Engineer to lead the development of cutting-edge real-time software used in complex regulatedenvironments. The Role Youll take ownership of a team developing a safety-critical Real-Time Operating …",IT Jobs
Embedded Software Engineer,Platform Recruitment Limited,"Ditherington, Shrewsbury","Embedded Software Engineer (Embedded C) Shrewsbury | £50,000 £80,000  Benefits Im recruiting on behalf of a technology-focused engineering client who is looking to hire an Embedded Software Engineer to join a growing development team working on next-generation embedded and industrial systems . This role is ideal for an engineer who enjoys working close to hardware and contributing across the full product lifecycle. The Role Develop and maintain Embedded C software for industrial communication i…",IT Jobs
Software Engineer (PHP),Ocho,"Belfast, Northern Ireland","Are you a Software Engineer who thrives in fast-paced environments where performance truly matters? Do you want to help shape the technical direction of one of the most exciting and fastest-growing start-ups in the area? My client is building something special - a high-growth technology business with ambitious plans, strong backing, and a product already gaining real traction. They are now looking for a Software Engineer with strong PHP experience to join the team and play a key role in scaling…",IT Jobs
Senior Software Engineer,VANRATH,"Belfast, Northern Ireland","Senior Software Engineer (Full-Stack) Permanent | Full-Time | UK An established insurance organisation with over two decades of experience in the US market is expanding its international technology presence. Its UK-based team focuses on enhancing operations through data science, machine learning, analytics, and platform development. The Role As a Senior Software Engineer, you will design, build, and maintain scalable software systems supporting insurance platforms. The role combines hands-on de…",IT Jobs
Software Engineering Manager,Coburg Banks Limited,"Hampton, Peterborough","Role: Software Engineering Manager Location: Peterborough Hybrid - 2 days per week Salary: Competitive salary, plus bonus, car allowance, excellent pension, healthcare This is a new role within this multinational organisation that fully embraces and actively encourages the adoption the latest tech. We are looking for an experienced software engineering manager, development manager or lead developer that is as happy leading a small team as much as coding and leading projects. This is a hands-on …",IT Jobs
Embedded Software Engineer,KO2 Embedded Recruitment Solutions LTD,"Wallbridge, Stroud","Embedded Software Engineer (Wireless Mesh, LoRaWAN & RF Technologies) Location: Stroud Area - office based role Salary: Up to £70,000 KO2's client, a rapidly expanding and innovative start-up based in the Stroud area, is seeking an experienced Embedded Software Engineer with strong expertise in wireless mesh, LoRaWAN, and RF technologies to join their growing engineering team. This is a fantastic opportunity to work on cutting-edge connected products, playing a key role in shaping robust, low-p…",IT Jobs
Senior Software Engineer,Platform Recruitment Limited,"Royston, Hertfordshire","Job Title: Software Engineer Location: South Cambridgeshire, Salary: up to £70,000 This is a rare opportunity for an engineer to join an elite R&D team, where your going to be working on the intersection of software and hardware development, working to develop the technologies the save thousands of lives. If you have an electronics or engineering background and have developed strong software skills along the way, this role was written for you. The Role You will play a key role across the full p…",Engineering Jobs
Lead Software Engineer,Spectrum It Recruitment Limited,"Fareham, Hampshire","We are seeking an experienced Technical Lead to drive the design, development, and delivery of embedded software and algorithms for advanced touch sensing products. You will lead technical direction, mentor engineers, and collaborate across multidisciplinary teams to deliver high-quality solutions throughout the full software lifecycle. Key Responsibilities Lead end-to-end development of embedded firmware and algorithms Define software architecture and key technical decisions Manage project del…",IT Jobs
LabVIEW Software Engineers X2,Morson Edge,"Slip End, Luton","The SPU Update Test Solution and capacity boost project covers the design, development and certification of an ATP test solution for the SPU. Activities • Prepare and hold joint TRR / FQR design review and close out actions for the Payload project (BriteCloud). • Prepare and hold required design review and close out actions for the Payload project test solutions team. Documentation and configuration • Prepare and issue documentation as necessary for project success - SDP / TRD / TERs /TRD IDATS…",Engineering Jobs
C++ Software Engineer,MASS Consultants,"Fareham, Hampshire","C++ Software Engineer Portsdown West (PO17) Full-time Onsite Salary £50,000 - £65,000 25 days annual leave inclusive of up to 3 days Christmas shut-down Buy or sell up to 5 days annual leave Annual Wellbeing allowance Two pension schemes to choose from Private Medical Insurance  discounts for additional family members Life Assurance scheme up to 4 x salary Share Save scheme Electric/Hybrid Car leasing scheme Cycle to work scheme Retail discounts Career development support Our Electronic Warfare…",IT Jobs
Senior Software Engineer,Harnham - Data & Analytics Recruitment,"London, UK","Senior Software Engineer Location: London (hybrid, 2 days per week in the office) Salary: Up to £95,000  10% Bonus Working Model: Hybrid (2 Days in Office per Week) This is an opportunity to step into a genuinely influential senior engineering role within a growing product-focused technology team. You will have real ownership over how systems are designed and built, with the chance to guide other engineers through complex technical challenges while staying hands-on yourself. The Company They ar…",IT Jobs
Principal Software Engineer,Understanding Recruitment,"St. Albans, Hertfordshire","Fastest Growing Start-up in the UK | Defense We are partnered with one of the UK's fastest-growing start-ups. They are a very technically focused group building cutting-edge decision-making technology. The company's founding team has a real pedigree, with backgrounds from the UK Special Forces, Palantir and Helsing. They've been building for just over two years, and already have a lot of customers in the UK. On-site | London Up to 150,000  Equity Senior/Principal Software Engineers: They're loo…",IT Jobs
Agentic Software Engineer,Adria Solutions,"Newcastle Upon Tyne, Tyne & Wear","Agentic Software Engineer Our client is a UK-based organisation operating in the medtech industry, with a team of around 200 people. They design and manufacture bespoke solutions that improve patients’ quality of life. They are investing significantly in technology and automation to support their next phase of growth. A key initiative is the development of a new digital platform that connects prescription workflows, manufacturing processes, and patient outcomes into a single integrated system. …",IT Jobs
Agentic Software Engineer,Adria Solutions,"Sheffield, South Yorkshire","Agentic Software Engineer Our client is a UK-based organisation operating in the medtech industry, with a team of around 200 people. They design and manufacture bespoke solutions that improve patients’ quality of life. They are investing significantly in technology and automation to support their next phase of growth. A key initiative is the development of a new digital platform that connects prescription workflows, manufacturing processes, and patient outcomes into a single integrated system. …",IT Jobs
Lead Software Engineer,Understanding Recruitment,"St. Albans, Hertfordshire","Lead Rust Engineer Up to 120,000/130,000 London Low Latency | Async Rust | Tokio Drones We have a new and exclusive partnership with one of the most exciting scale-ups in Europe, who are looking to double in size their engineering team. They have a valuation exceeding 2 billion Euros. The company builds aerial intelligence hardware and software. They're main focus is the manufacturing of UAV's. Alongside this, they are also developing bleeding edge software that provides actionable insights in …",IT Jobs
SOFTWARE ENGINEER SOFTWARE ASSURANCE,Morson Edge,"Walney, Barrow-In-Furness","SOFTWARE ENGINEER (SW ASSURANCE) – CONTRACT 12 MONTHS – HYBRID & BARROW in FURNESS Software Engineers will not only support their more junior colleagues but may also manage effort budgets, coach and mentor junior team members and make engineering decisions within their own sphere of responsibility and delegated authority. They will be familiar with multiple software lifecycle phases and product domains and have developed a specialisation in the product domain of their team. Working autonomously…",IT Jobs
Backend Software Engineer,Hays Specialist Recruitment Limited,"London, UK","Software Engineer - Java 21, Springboot Up to £550 per day (Inside IR35) London / Remote 6 months My client is an instantly recognisable consultancy who require a strong Backend Software Engineer with deep expertise in Java (Spring Boot) to join a large-scale, business-critical microservices programme. All candidates must be eligible for Security Clearance (SC) Key Requirements: Proven experience working as a Java Software Engineer on large microservice architectures Strong experience building …",IT Jobs
AI Software Engineer,Searchability NS&D,"Birmingham, West Midlands","AI Software Engineer - SC / DV Cleared Location: UK (Fully Remote, occasional client site visits) Salary: £45,000 - £80,000 DOE  Company Bonus Employment: Permanent Security Clearance: SC or MOD DV required To apply, email :",IT Jobs
AI Software Engineer,Searchability NS&D,"Manchester, Greater Manchester","AI Software Engineer - SC / DV Cleared Location: UK (Fully Remote, occasional client site visits) Salary: £45,000 - £80,000 DOE  Company Bonus Employment: Permanent Security Clearance: SC or MOD DV required To apply, email :",IT Jobs
Cyber Software Engineer,Sanderson,"Manchester, Greater Manchester","Cyber Software Engineer - National Security The successful applicant will join teams working at the forefront of AI/DS, Cyber, Cloud, DevOps/SRE and Platform Engineering. With long-term programmes secured across the latest frameworks, this position offers the chance to be part of an exciting growth journey with significant technical depth and variety. As a Cyber Software Engineer, the successful applicant will contribute to the research, design and development of critical systems in support of …",IT Jobs
Junior Software Engineer,Samuel Frank,"East Morton, Keighley","Junior Software Engineer Industrial Controls - West Yorkshire £32k to £40k  10% bonus  overtime (paid travel time) A West Yorkshire-based engineering business is looking to recruit a Junior Software Engineer to support ongoing project delivery and commissioning work across a range of automated machinery. This Junior Software Engineer role is ideal for someone early in their career who wants to build a long-term future in PLC software, starting with hands-on commissioning and developing into a m…",Engineering Jobs
C++ Software Engineer,RedTech Recruitment Ltd,"The Park, Nottingham","C++ Software Engineer A fantastic opportunity for a C++ Software Engineer to join a highly innovative engineering technology company, developing advanced software that directly drives complex physical systems. This organisation operates across the full product lifecycle, from initial design through to real-world production, offering a unique environment where software engineers work closely with hardware, manufacturing, and engineering teams to deliver high-impact solutions. You will join a col…",IT Jobs
Senior Software Engineer,Samuel Frank,"Griff, Nuneaton","Senior Software Engineer Siemens TIA Portal Automated Warehousing Warwickshire / Hybrid £60-70k Samuel Frank is recruiting for a Senior Software Engineer to join a growing automation business delivering turnkey automated warehouse systems across the UK. Youll split your time between development and testing in the innovation centre and delivering projects on-site across the Home Counties and Midlands, with commissioning phases typically lasting between 26 months. Key aspects of the Senior Softwa…",IT Jobs
Lead Software Engineer,Photocentric Ltd,"Fengate, Peterborough","Lead Software Engineer Photocentric Ltd, based in Peterborough, Cambridgeshire and the USA, is an award-winning innovator in 3D printing. We have invented a patented new method of 3D printing that is beginning to disrupt how things are made worldwide. We manufacture our own 3D printers and resins in Peterborough and export globally. Join Photocentric and help take our 3D printer to the next level. We are seeking a Lead Software Engineer to enhance our system capabilities and support the evoluti…",IT Jobs
Embedded Software Engineer,Saxon Recruitment Solutions,"Barnsley, South Yorkshire","Embedded Software Engineer - Barnsley Hybrid Are you an experienced Embedded Software Engineer, Firmware Engineer or Electronics Design Engineer looking to develop your Embedded Development skills in a collaborative and positive work culture ? We are looking for an experienced Embedded Software Engineer to join a small R&D team where you'll contribute to the development of innovative automotive IoT products that use RF and wired communications to keep vehicles connected to the cloud. With their…",Engineering Jobs
Electronics Software Engineer,KO2 Embedded Recruitment Solutions LTD,"Dragley Beck, Ulverston","Electronic Software Engineer Ulverston, Lake District Up to £50,000 We're working with a growing engineering team based in the Swarthmoor area who are looking to add a talented Electronic Software Engineer to their business. This is a fantastic opportunity to be involved in the full product lifecycle, contributing to the design and development of innovative electronic solutions from concept through to production. The role will suit someone with a background in both electronics and low-level emb…",Engineering Jobs
